주성분코드,ATC코드,주성분명
494202ATD,A02BX16,irsogladine
498001ACH,A02BC05,esomeprazole
498002ACH,A02BC05,esomeprazole
505501ATE,A02BC,Proton pump inhibitors
505601ATB,A02BX,Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)
509902ACH,A02BC05,esomeprazole
519201ATE,A02BC02,pantoprazole
519202ATE,A02BC02,pantoprazole
621701ATB,A02X,OTHER DRUGS FOR ACID RELATED DISORDERS
621702ATB,A02X,OTHER DRUGS FOR ACID RELATED DISORDERS
621901ACR,A02BC06,dexlansoprazole
621902ACR,A02BC06,dexlansoprazole
640200ATB,A02BC51,"omeprazole, combinations"
664500ATB,A02BC51,"omeprazole, combinations"
656701ATE,A02BC02,pantoprazole
670700ATB,A02BC,Proton pump inhibitors
684100ATB,A02BC,Proton pump inhibitors
706100ATB,A02BC,Proton pump inhibitors
719500ATB,A02BC,Proton pump inhibitors
719600ATB,A02BC,Proton pump inhibitors
675801ATB,A02BC09,tegoprazan
675801ATD,A02BC09,tegoprazan
675802ATB,A02BC09,tegoprazan
675802ATD,A02BC09,tegoprazan
694400ATB,A02BC,Proton pump inhibitors
694500ATB,A02BC,Proton pump inhibitors
704600ATB,A02BC54,"rabeprazole, combinations"
705900ATB,A02BC54,"rabeprazole, combinations"
706000ATB,A02BC54,"rabeprazole, combinations"
726700ATB,A02BC54,"rabeprazole, combinations"
704701ATB,A02BC,Proton pump inhibitors
704702ATB,A02BC,Proton pump inhibitors
708000ATB,A02BC,Proton pump inhibitors
718400ATB,A02BC53,"lansoprazole, combinations"
730300ATB,A02BC54,"rabeprazole, combinations"
105201ASS,A02AD03,almagate
105230ASS,A02AD03,almagate
105203ATB,A02AD03,almagate
105902ATB,A02AB01,aluminium hydroxide
121801ATB,A02AC01,calcium carbonate
121901ATB,A02AC01,calcium carbonate
187201ASS,A02AD05,almasilate
187203ATB,A02AD05,almasilate
187402ATB,A02AA04,magnesium hydroxide
187501ATB,A02AA02,magnesium oxide
145901ATB,A04AD,Other antiemetics
167301ATB,A04AA02,granisetron
167301ATD,A04AA02,granisetron
204601ATD,A04AA01,ondansetron
204603ATB,A04AA01,ondansetron
204603ATD,A04AA01,ondansetron
222601ATD,A04AA,Serotonin (5HT3) antagonists
483001ACH,A04AD12,aprepitant
483002ACH,A04AD12,aprepitant
654500ATE,A04A,ANTIEMETICS AND ANTINAUSEANTS
674900ACH,A04AA55,"palonosetron, combinations"
100301ACH,A05AA,Bile acids and derivatives
246502ATB,A05AA02,ursodeoxycholic acid
246503ACH,A05AA02,ursodeoxycholic acid
246506ATB,A05AA02,ursodeoxycholic acid
113231AGN,A07FA01,lactic acid producing organisms
113232APD,A07FA01,lactic acid producing organisms
113201ACH,A07FA01,lactic acid producing organisms
146430ASS,A07BC05,diosmectite
146431ASS,A07BC05,diosmectite
146432ASS,A07BC05,diosmectite
164431APD,A09AA04,tilactase
180531AGN,A07FA01,lactic acid producing organisms
180535AGN,A07FA01,lactic acid producing organisms
180501ACH,A07FA01,lactic acid producing organisms
185102ACH,A07DA03,loperamide
225402ACH,A07FA02,saccharomyces boulardii
225402APD,A07FA02,saccharomyces boulardii
231701ATB,A07FA01,lactic acid producing organisms
231802ACH,A07FA01,lactic acid producing organisms
461130APD,A07FA01,lactic acid producing organisms
461131APD,A07FA01,lactic acid producing organisms
461130AGN,A07FA01,lactic acid producing organisms
461131AGN,A07FA01,lactic acid producing organisms
461101ACH,A07FA01,lactic acid producing organisms
473533APD,A07FA01,lactic acid producing organisms
473502ACE,A07FA01,lactic acid producing organisms
473503ACE,A07FA01,lactic acid producing organisms
487401ACH,A07FA01,lactic acid producing organisms
720200APD,A07FA02,saccharomyces boulardii
727100APD,A07FA51,"lactic acid producing organisms, combinations"
214630AGN,A06AC01,ispaghula (psylla seeds)
415730APD,A06AD12,lactitol
622001ATB,A06AX05,prucalopride
622002ATB,A06AX05,prucalopride
114511ATE,A07EA07,beclometasone
122301ATB,A06AC08,polycarbophil calcium
148432ASS,A03FA03,domperidone
148402ATB,A03FA03,domperidone
148501ATB,A03FA03,domperidone
179001ATB,A03FA07,itopride
183501ATB,A03FA,Propulsives
190802AGR,A07EC02,mesalazine
190802ATR,A07EC02,mesalazine
190803ATR,A07EC02,mesalazine
190806AGR,A07EC02,mesalazine
190808ATR,A07EC02,mesalazine
190811ATR,A07EC02,mesalazine
190812ATR,A07EC02,mesalazine
193701ATB,A03FA01,metoclopramide
212501ATB,A03AX04,pinaverium
222602ATB,A03AE,Serotonin receptor antagonists
222603ATB,A03AE,Serotonin receptor antagonists
227730ASS,A03AX13,silicones
227731ASS,A03AX13,silicones
227735ASS,A03AX13,silicones
244330ASY,A03AA05,trimebutine
244301ATB,A03AA05,trimebutine
244302ATB,A03AA05,trimebutine
244303ATR,A03AA05,trimebutine
244305ATB,A03AA05,trimebutine
294300ACS,A03AX58,"alverine, combinations"
294400ACH,A03FA,Propulsives
421001APD,A03FA09,mosapride
421001ATB,A03FA09,mosapride
421004ATR,A03FA09,mosapride
475001ACH,A07EC04,balsalazide
593401ACH,A07E,INTESTINAL ANTIINFLAMMATORY AGENTS
614901ATB,A16AX,Various alimentary tract and metabolism products
668001ACH,A16AX14,migalastat
141401APD,H01BA02,desmopressin
141401ATB,H01BA02,desmopressin
141401ATD,H01BA02,desmopressin
141404APD,H01BA02,desmopressin
141404ATB,H01BA02,desmopressin
141404ATD,H01BA02,desmopressin
141407ATL,H01BA02,desmopressin
141408ATL,H01BA02,desmopressin
141409ATL,H01BA02,desmopressin
141410ATL,H01BA02,desmopressin
141411ATL,H01BA02,desmopressin
183601ATB,H03AA01,levothyroxine sodium
183602ATB,H03AA01,levothyroxine sodium
183603ATB,H03AA01,levothyroxine sodium
183604ATB,H03AA01,levothyroxine sodium
183606ATB,H03AA01,levothyroxine sodium
183607ATB,H03AA01,levothyroxine sodium
183608ATB,H03AA01,levothyroxine sodium
183609ATB,H03AA01,levothyroxine sodium
183610ATB,H03AA01,levothyroxine sodium
183611ATB,H03AA01,levothyroxine sodium
191801ATB,H03BB02,thiamazole
191803ATB,H03BB02,thiamazole
220101ATB,H03BA02,propylthiouracil
471501ATB,H03BB01,carbimazole
471502ATB,H03BB01,carbimazole
207201ATB,A14AA05,oxymetholone
116401ATB,H02AB01,betamethasone
140801ATB,H02AB13,deflazacort
141901ATB,H02AB02,dexamethasone
141903ATB,H02AB02,dexamethasone
141904ATB,H02AB02,dexamethasone
160201ATB,H02AA02,fludrocortisone
170901ATB,H02AB09,hydrocortisone
170906ATB,H02AB09,hydrocortisone
193302ATB,H02AB04,methylprednisolone
193304ATB,H02AB04,methylprednisolone
193305ATB,H02AB04,methylprednisolone
217034ASY,H02AB06,prednisolone
217035ASY,H02AB06,prednisolone
217001ATB,H02AB06,prednisolone
243201ATB,H02AB08,triamcinolone
243202ATB,H02AB08,triamcinolone
243203ATB,H02AB08,triamcinolone
139401ATB,G03HA01,cyproterone
140302ACH,G03XA01,danazol
154901ATB,G03CA03,estradiol
154903ATB,G03CA03,estradiol
155001ATB,G03CA03,estradiol
155002ATB,G03CA03,estradiol
155401ATB,G03CA57,conjugated estrogens
155402ATB,G03CA57,conjugated estrogens
188903ATB,G03DA02,medroxyprogesterone
188906ATB,G03DA02,medroxyprogesterone
195001ACS,G03DA04,progesterone
239001ATB,G03CX01,tibolone
297400ATB,G03FB08,dydrogesterone and estrogen
433700ATB,G03FB08,dydrogesterone and estrogen
398400ATB,G03HB01,cyproterone and estrogen
433800ATB,G03FA14,dydrogesterone and estrogen
490400ATB,G03FA17,drospirenone and estrogen
615701ATB,G03DB08,dienogest
136201ATB,G03GB02,clomifene
226702ACS,G04CX02,Sabalis serrulatae fructus
505801ATB,G04BD14,imidafenacin
104803ATR,G04CA01,alfuzosin
159001ATB,G04CB01,finasteride
159201ATB,G04BD02,flavoxate
210701ACH,G04BX15,pentosan polysulfate sodium
215902ATR,G04BX,Other urologicals
219701ATB,G04BD06,propiverine
219702ATB,G04BD06,propiverine
234601ACR,G04CA02,tamsulosin
234601ATD,G04CA02,tamsulosin
234601ATR,G04CA02,tamsulosin
234603ACR,G04CA02,tamsulosin
234603ATD,G04CA02,tamsulosin
234603ATR,G04CA02,tamsulosin
235501ATB,G04CA03,terazosin
235502ATB,G04CA03,terazosin
235503ATB,G04CA03,terazosin
245501ATB,G04BD09,trospium
299100AGN,G04BX,Other urologicals
357102ACR,G04BD07,tolterodine
357102ATB,G04BD07,tolterodine
357103ACR,G04BD07,tolterodine
357103ATR,G04BD07,tolterodine
458801ACS,G04CB02,dutasteride
458801ATB,G04CB02,dutasteride
493801ATB,G04BD08,solifenacin
493802ATB,G04BD08,solifenacin
503801ATR,G04BD11,fesoterodine
503802ATR,G04BD11,fesoterodine
504202ACH,G04CA04,silodosin
504202ATB,G04CA04,silodosin
504203ACH,G04CA04,silodosin
504203ATD,G04CA04,silodosin
614201ATB,G04CA,Alpha-adrenoreceptor antagonists
614202ATB,G04CA,Alpha-adrenoreceptor antagonists
614203ATB,G04CA,Alpha-adrenoreceptor antagonists
625701ATR,G04BD12,mirabegron
625702ATR,G04BD12,mirabegron
655601ATB,G04BD08,solifenacin
655602ATB,G04BD08,solifenacin
657401ATB,G04BD08,solifenacin
657402ATB,G04BD08,solifenacin
698100ACR,G04CA52,tamsulosin and dutasteride
110405ATB,A11GA01,ascorbic acid (vit C)
102301ACH,D05BB02,acitretin
104601ACS,A11CC03,alfacalcidol
104601ATB,A11CC03,alfacalcidol
104602ACS,A11CC03,alfacalcidol
121601ACS,A11CC04,calcitriol
178701ACS,D10BA01,isotretinoin
624001ACS,D11AH04,alitretinoin
624002ACS,D11AH04,alitretinoin
237301ATB,A11DA01,thiamine (vit B1)
162601ATB,B03BB01,folic acid
162602ATB,B03BB01,folic acid
188601ACH,B03BA05,mecobalamin
188602ACH,B03BA05,mecobalamin
188602ATB,B03BA05,mecobalamin
221603ATB,A11HA02,pyridoxine (vit B6)
221606ATB,A11HA02,pyridoxine (vit B6)
301500ATB,A11EB,Vitamin B-complex with vitamin C
301600ATB,A11EB,Vitamin B-complex with vitamin C
720400ATB,A12AX,"Calcium, combinations with vitamin D and/or other drugs"
712800ATB,A12AX,"Calcium, combinations with vitamin D and/or other drugs"
205602ATB,A12AA,Calcium
302600ATB,A12AX,"Calcium, combinations with vitamin D and/or other drugs"
473800ATB,A12AX,"Calcium, combinations with vitamin D and/or other drugs"
480200ATB,A12AX,"Calcium, combinations with vitamin D and/or other drugs"
498200ATB,A12AX,"Calcium, combinations with vitamin D and/or other drugs"
498300ATB,A12AX,"Calcium, combinations with vitamin D and/or other drugs"
526100ATB,A12AX,"Calcium, combinations with vitamin D and/or other drugs"
303200ATB,A12AX,"Calcium, combinations with vitamin D and/or other drugs"
503100ATB,A12AX,"Calcium, combinations with vitamin D and/or other drugs"
508700ATB,A12AX,"Calcium, combinations with vitamin D and/or other drugs"
519000ATB,A12AX,"Calcium, combinations with vitamin D and/or other drugs"
665600ATB,A12AX,"Calcium, combinations with vitamin D and/or other drugs"
670000ATB,A12AX,"Calcium, combinations with vitamin D and/or other drugs"
686700ATB,A11CC55,"colecalciferol, combinations"
462700ATB,A12AX,"Calcium, combinations with vitamin D and/or other drugs"
158631ALQ,B03AB05,ferric oxide polymaltose complexes
158634ALQ,B03AB05,ferric oxide polymaltose complexes
158632ALQ,B03AB05,ferric oxide polymaltose complexes
215001ACH,B03AB,"Iron trivalent, oral preparations"
228902ACH,B03AB,"Iron trivalent, oral preparations"
303403ATR,B03AA07,ferrous sulfate
379330ALQ,B03AB08,ferric acetyl transferrin
379302ACH,B03AB08,ferric acetyl transferrin
533700ALQ,B03AD,Iron in combination with folic acid
434700ATB,V06B,PROTEIN SUPPLEMENTS
529300ALQ,V06DB,"Fat/carbohydrates/proteins/minerals/vitamins, combinations"
529400ALQ,V06DB,"Fat/carbohydrates/proteins/minerals/vitamins, combinations"
529500ASS,V06DB,"Fat/carbohydrates/proteins/minerals/vitamins, combinations"
529600ASS,V06DB,"Fat/carbohydrates/proteins/minerals/vitamins, combinations"
215801ATR,A12BA01,potassium chloride
242501ACH,B02AA02,tranexamic acid
249103ATB,B01AA03,warfarin
249105ATB,B01AA03,warfarin
511401ATB,B01AF01,rivaroxaban
511402ATB,B01AF01,rivaroxaban
511403ATB,B01AF01,rivaroxaban
511404ACH,B01AF01,rivaroxaban
511404ATB,B01AF01,rivaroxaban
613701ACH,B01AE07,dabigatran etexilate
613702ACH,B01AE07,dabigatran etexilate
617001ATB,B01AF02,apixaban
617002ATB,B01AF02,apixaban
643601ATB,B01AF03,edoxaban
643602ATB,B01AF03,edoxaban
643603ATB,B01AF03,edoxaban
116201ATB,B01AC19,beraprost
116202ATB,B01AC19,beraprost
133201ACR,B01AC23,cilostazol
133201ATB,B01AC23,cilostazol
133201ATR,B01AC23,cilostazol
133202ATB,B01AC23,cilostazol
133203ACR,B01AC23,cilostazol
133203ATR,B01AC23,cilostazol
174701ATB,B01AC10,indobufen
226101ATB,B01AC,Platelet aggregation inhibitors excl. heparin
226103ATR,B01AC,Platelet aggregation inhibitors excl. heparin
239201ATB,B01AC05,ticlopidine
239202ATB,B01AC05,ticlopidine
506100ATB,B01AC,Platelet aggregation inhibitors excl. heparin
687200ATR,B01AC,Platelet aggregation inhibitors excl. heparin
590701ATB,B02BX05,eltrombopag
590702ATB,B02BX05,eltrombopag
675600ALQ,A07CA,Oral rehydration salt formulations
698300ALQ,A07CA,Oral rehydration salt formulations
117701ATB,A05BA,Liver therapy
117702ACS,A05BA,Liver therapy
123907ACS,A05BA03,silymarin
123908ACS,A05BA03,silymarin
124001ACH,A05BA03,silymarin
124002ACH,A05BA03,silymarin
180901ATB,J05AF05,lamivudine
191201ATB,A05BA09,metadoxine
205002ACM,A05BA06,ornithine oxoglurate
205002APD,A05BA06,ornithine oxoglurate
246501ATB,A05AA02,ursodeoxycholic acid
305900ACH,A05BA,Liver therapy
427800ACH,A05BA,Liver therapy
448000ACH,A05AA,Bile acids and derivatives
457501ATB,J05AF08,adefovir dipivoxil
474931AGN,A16AX03,sodium phenylbutyrate
487202ATB,J05AF10,entecavir
487202ATD,J05AF10,entecavir
487203ATB,J05AF10,entecavir
487203ATD,J05AF10,entecavir
487802ACH,J05AF12,clevudine
506001ATB,J05AF11,telbivudine
665301ATB,J05AF13,tenofovir alafenamide
665401ATB,J05AF,Nucleoside and nucleotide reverse transcriptase inhibitors
715101ATB,J05AF13,tenofovir alafenamide
716301ATB,J05AF13,tenofovir alafenamide
716401ATB,J05AF13,tenofovir alafenamide
720701ATB,J05AF13,tenofovir alafenamide
182503ATB,V03AF03,calcium folinate
199201ATB,N07BB04,naltrexone
199202ATB,N07BB04,naltrexone
209901ACH,M01CC01,penicillamine
209902ACH,M01CC01,penicillamine
363401ATB,V03AB04,pralidoxime
459701AGN,V03AB,Antidotes
459701ATD,V03AB,Antidotes
459702ACH,V03AB,Antidotes
480101ACH,A16AX12,trientine
486007ASS,V03AC03,deferasirox
486010ASS,V03AC03,deferasirox
486001ATD,V03AC03,deferasirox
486002ATD,V03AC03,deferasirox
486003ATD,V03AC03,deferasirox
486004ATB,V03AC03,deferasirox
486005ATB,V03AC03,deferasirox
486006ATB,V03AC03,deferasirox
486009APD,V03AC03,deferasirox
494001APD,A16AA06,betaine
512001ACH,A16AX05,zinc acetate
105001ATB,M04AA01,allopurinol
137801ATB,M04AC01,colchicine
567401ATB,M04AA03,febuxostat
567403ATB,M04AA03,febuxostat
451201ATE,M09AB03,bromelains
451202ATE,M09AB03,bromelains
100601ATB,A10BF01,acarbose
100602ATB,A10BF01,acarbose
165402ATB,A10BB01,glibenclamide
165602ATB,A10BB09,gliclazide
165603ATR,A10BB09,gliclazide
165604ATR,A10BB09,gliclazide
165701ATB,A10BB12,glimepiride
165702ATB,A10BB12,glimepiride
165703ATB,A10BB12,glimepiride
165704ATB,A10BB12,glimepiride
165801ATB,A10BB07,glipizide
191501ATB,A10BA02,metformin
191502ATB,A10BA02,metformin
191502ATR,A10BA02,metformin
191503ATB,A10BA02,metformin
191503ATR,A10BA02,metformin
191504ATB,A10BA02,metformin
191504ATR,A10BA02,metformin
191505ATR,A10BA02,metformin
249001ATB,A10BF03,voglibose
249002ATB,A10BF03,voglibose
379501ATB,A10BX02,repaglinide
379502ATB,A10BX02,repaglinide
379503ATB,A10BX02,repaglinide
430201ATB,A10BX03,nateglinide
430202ATB,A10BX03,nateglinide
430203ATB,A10BX03,nateglinide
431901ATB,A10BG03,pioglitazone
431902ATB,A10BG03,pioglitazone
443400ATB,A10BD02,metformin and sulfonylureas
443500ATB,A10BD02,metformin and sulfonylureas
474200ATB,A10BD02,metformin and sulfonylureas
474300ATB,A10BD02,metformin and sulfonylureas
474300ATR,A10BD02,metformin and sulfonylureas
498600ATB,A10BD02,metformin and sulfonylureas
486101ATB,A10BX08,mitiglinide
497200ATB,A10BD02,metformin and sulfonylureas
498100ATB,A10BD05,metformin and pioglitazone
500801ATB,A10BH02,vildagliptin
501101ATB,A10BH01,sitagliptin
501102ATB,A10BH01,sitagliptin
501103ATB,A10BH01,sitagliptin
502300ATB,A10BD07,metformin and sitagliptin
502300ATR,A10BD07,metformin and sitagliptin
502900ATB,A10BD07,metformin and sitagliptin
513700ATB,A10BD07,metformin and sitagliptin
513700ATR,A10BD07,metformin and sitagliptin
524700ATR,A10BD07,metformin and sitagliptin
507000ATB,A10BD08,metformin and vildagliptin
507100ATB,A10BD08,metformin and vildagliptin
519600ATB,A10BD08,metformin and vildagliptin
518500ATR,A10BD10,metformin and saxagliptin
518600ATR,A10BD10,metformin and saxagliptin
520500ATB,A10BD11,metformin and linagliptin
520600ATB,A10BD11,metformin and linagliptin
520700ATB,A10BD11,metformin and linagliptin
731800ATR,A10BD11,metformin and linagliptin
731900ATR,A10BD11,metformin and linagliptin
732000ATR,A10BD11,metformin and linagliptin
523800ATR,A10BD18,metformin and gemigliptin
632000ATR,A10BD18,metformin and gemigliptin
645000ATR,A10BD18,metformin and gemigliptin
654100ATR,A10BD18,metformin and gemigliptin
731200ATR,A10BD18,metformin and gemigliptin
525500ATB,A10BD06,glimepiride and pioglitazone
525600ATB,A10BD06,glimepiride and pioglitazone
525901ATB,A10BG04,lobeglitazone
527301ATB,A10BK01,dapagliflozin
527302ATB,A10BK01,dapagliflozin
613301ATB,A10BH03,saxagliptin
613302ATB,A10BH03,saxagliptin
616401ATB,A10BH05,linagliptin
619101ATB,A10BH06,gemigliptin
624202ATB,A10BH04,alogliptin
624203ATB,A10BH04,alogliptin
627301ATB,A10BH08,teneligliptin
628201ATB,A10BK03,empagliflozin
628202ATB,A10BK03,empagliflozin
630500ATB,A10BD09,pioglitazone and alogliptin
630600ATB,A10BD09,pioglitazone and alogliptin
635600ATB,A10BD13,metformin and alogliptin
635700ATB,A10BD13,metformin and alogliptin
675500ATB,A10BD13,metformin and alogliptin
636101ATB,A10BK05,ipragliflozin
639601ATB,A10BH,Dipeptidyl peptidase 4 (DPP-4) inhibitors
639800ATR,A10BD15,metformin and dapagliflozin
641400ATR,A10BD15,metformin and dapagliflozin
641800ATR,A10BD28,metformin and teneligliptin
641900ATR,A10BD28,metformin and teneligliptin
642000ATR,A10BD28,metformin and teneligliptin
645301ATB,A10BH07,evogliptin
648400ATB,A10BD,Combinations of oral blood glucose lowering drugs
648500ATB,A10BD,Combinations of oral blood glucose lowering drugs
648600ATB,A10BD,Combinations of oral blood glucose lowering drugs
649000ATB,A10BD20,metformin and empagliflozin
649100ATB,A10BD20,metformin and empagliflozin
649200ATB,A10BD20,metformin and empagliflozin
649300ATB,A10BD20,metformin and empagliflozin
649400ATB,A10BD20,metformin and empagliflozin
649500ATB,A10BD20,metformin and empagliflozin
649900ATR,A10BD22,metformin and evogliptin
650000ATR,A10BD22,metformin and evogliptin
650100ATR,A10BD22,metformin and evogliptin
653800ATR,A10BD26,metformin and lobeglitazone
653900ATR,A10BD26,metformin and lobeglitazone
654000ATR,A10BD26,metformin and lobeglitazone
655700ATR,A10BD26,metformin and lobeglitazone
664600ATB,A10BH52,gemigliptin and rosuvastatin
664700ATB,A10BH52,gemigliptin and rosuvastatin
664800ATB,A10BH52,gemigliptin and rosuvastatin
671800ATR,A10BD,Combinations of oral blood glucose lowering drugs
673800ATR,A10BD,Combinations of oral blood glucose lowering drugs
672000ATR,A10BD,Combinations of oral blood glucose lowering drugs
672500ATR,A10BD,Combinations of oral blood glucose lowering drugs
672600ATR,A10BD,Combinations of oral blood glucose lowering drugs
672700ATR,A10BD,Combinations of oral blood glucose lowering drugs
672800ATR,A10BD,Combinations of oral blood glucose lowering drugs
683300ATR,A10BD,Combinations of oral blood glucose lowering drugs
683400ATR,A10BD,Combinations of oral blood glucose lowering drugs
674301ATB,A10BK04,ertugliflozin
675100ATB,A10BD24,sitagliptin and ertugliflozin
685801ATB,A10BH02,vildagliptin
693201ATB,A10BK01,dapagliflozin
693202ATB,A10BK01,dapagliflozin
693301ATB,A10BK01,dapagliflozin
693302ATB,A10BK01,dapagliflozin
693402ATB,A10BK01,dapagliflozin
693501ATB,A10BK01,dapagliflozin
693502ATB,A10BK01,dapagliflozin
694201ATB,A10BH01,sitagliptin
694202ATB,A10BH01,sitagliptin
694203ATB,A10BH01,sitagliptin
695301ATB,A10BH08,teneligliptin
695401ATB,A10BH08,teneligliptin
696900ATB,A10BD19,linagliptin and empagliflozin
697000ATB,A10BD19,linagliptin and empagliflozin
701201ATB,A10BH02,vildagliptin
702400ATB,A10BD21,saxagliptin and dapagliflozin
702500ATB,A10BD08,metformin and vildagliptin
702600ATB,A10BD08,metformin and vildagliptin
702700ATB,A10BD08,metformin and vildagliptin
704100ATB,A10BD08,metformin and vildagliptin
704200ATB,A10BD08,metformin and vildagliptin
704300ATB,A10BD08,metformin and vildagliptin
705100ATB,A10BD07,metformin and sitagliptin
705200ATB,A10BD07,metformin and sitagliptin
705300ATB,A10BD07,metformin and sitagliptin
709300ATR,A10BD07,metformin and sitagliptin
709400ATR,A10BD07,metformin and sitagliptin
709500ATR,A10BD07,metformin and sitagliptin
718200ATR,A10BD07,metformin and sitagliptin
706900ATB,A10BD29,sitagliptin and dapagliflozin
708200ATR,A10BD28,metformin and teneligliptin
708300ATR,A10BD28,metformin and teneligliptin
708400ATR,A10BD28,metformin and teneligliptin
710900ATR,A10BD28,metformin and teneligliptin
711000ATR,A10BD28,metformin and teneligliptin
711100ATR,A10BD28,metformin and teneligliptin
711300ATB,A10BD29,sitagliptin and dapagliflozin
711400ATB,A10BD,Combinations of oral blood glucose lowering drugs
712901ATB,A10BK01,dapagliflozin
712902ATB,A10BK01,dapagliflozin
715200ATR,A10BD15,metformin and dapagliflozin
715300ATR,A10BD15,metformin and dapagliflozin
715400ATR,A10BD15,metformin and dapagliflozin
715500ATR,A10BD15,metformin and dapagliflozin
715701ATB,A10BK,Sodium-glucose co-transporter 2 (SGLT2) inhibitors
718300ATR,A10BD15,metformin and dapagliflozin
726800ATR,A10BD15,metformin and dapagliflozin
718500ATR,A10BD15,metformin and dapagliflozin
718600ATR,A10BD15,metformin and dapagliflozin
718700ATR,A10BD15,metformin and dapagliflozin
718800ATR,A10BD15,metformin and dapagliflozin
718900ATR,A10BD15,metformin and dapagliflozin
719000ATR,A10BD15,metformin and dapagliflozin
719100ATR,A10BD15,metformin and dapagliflozin
719200ATR,A10BD15,metformin and dapagliflozin
719300ATR,A10BD15,metformin and dapagliflozin
719400ATR,A10BD15,metformin and dapagliflozin
719700ATB,A10BD,Combinations of oral blood glucose lowering drugs
720300ATB,A10BD,Combinations of oral blood glucose lowering drugs
721700ATR,A10BD,Combinations of oral blood glucose lowering drugs
721900ATR,A10BD,Combinations of oral blood glucose lowering drugs
722200ATR,A10BD,Combinations of oral blood glucose lowering drugs
722300ATR,A10BD,Combinations of oral blood glucose lowering drugs
722400ATR,A10BD,Combinations of oral blood glucose lowering drugs
722500ATR,A10BD,Combinations of oral blood glucose lowering drugs
722900ATR,A10BD,Combinations of oral blood glucose lowering drugs
723000ATB,A10BD29,sitagliptin and dapagliflozin
723100ATB,A10BD,Combinations of oral blood glucose lowering drugs
723500ATB,A10BD29,sitagliptin and dapagliflozin
723900ATB,A10BD29,sitagliptin and dapagliflozin
724400ATB,A10BD12,pioglitazone and sitagliptin
724500ATB,A10BD12,pioglitazone and sitagliptin
724700ATB,A10BD,Combinations of oral blood glucose lowering drugs
724800ATB,A10BD,Combinations of oral blood glucose lowering drugs
726900ATR,A10BD,Combinations of oral blood glucose lowering drugs
732101ATB,A10BH05,linagliptin
732600ATB,A10BD,Combinations of oral blood glucose lowering drugs
732700ATB,A10BD11,metformin and linagliptin
732800ATB,A10BD11,metformin and linagliptin
732900ATB,A10BD11,metformin and linagliptin
112201ACH,M01AX26,"avocado and soyabean oil, unsaponifiables"
115601ATB,M04AB03,benzbromarone
118701ATB,G02CB01,bromocriptine
122501ATB,B02AB04,camostat
122502ATB,B02AB04,camostat
132502ACH,M01AX25,chondroitin sulfate
142801ACH,M01AX21,diacerein
142802ACH,M01AX21,diacerein
147401ATB,M05BA01,etidronic acid
180830ASY,A06AD11,lactulose
180833ASY,A06AD11,lactulose
228306ALQ,M05BA04,alendronic acid
228307ALQ,M05BA04,alendronic acid
228301ATB,M05BA04,alendronic acid
228303ATB,M05BA04,alendronic acid
228305ATB,M05BA04,alendronic acid
250901ATB,A16AX01,thioctic acid
250901ATR,A16AX01,thioctic acid
250902ATR,A16AX01,thioctic acid
358001ATB,G03XC01,raloxifene
358002ATB,G03XC01,raloxifene
379601ATE,N06AX,Other antidepressants
442302ATB,M05BA07,risedronic acid
442302ATE,M05BA07,risedronic acid
442330ATB,M05BA07,risedronic acid
468000ATE,M05BB03,alendronic acid and colecalciferol
480304ATB,M05BA06,ibandronic acid
481100ATB,M05BB03,alendronic acid and colecalciferol
500200ATB,M05BB03,alendronic acid and colecalciferol
505901ACH,A16AX06,miglustat
511200ATB,M05BB07,risedronic acid and colecalciferol
518400ATB,M05BB07,risedronic acid and colecalciferol
512301ATB,H05BX01,cinacalcet
512302ATB,H05BX01,cinacalcet
515001ATB,A16AX07,sapropterin
517401ATB,G02CB03,cabergoline
517402ATB,G02CB03,cabergoline
517403ATB,G02CB03,cabergoline
523900ATB,M05BB,"Bisphosphonates, combinations"
524901ATB,A16AX01,thioctic acid
617101ATB,G03XC02,bazedoxifene
618401ATD,A16AA05,carglumic acid
646601ACH,A16AX10,eliglustat
659200ACH,G03XC,Selective estrogen receptor modulators
659200ATB,G03XC,Selective estrogen receptor modulators
674500ATB,G03X,OTHER SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM
698200ATB,G03XC,Selective estrogen receptor modulators
100101APD,L03AX,Other immunostimulants
100102ACH,L03AX,Other immunostimulants
109001ATB,L02BG03,anastrozole
117201ATB,L02BB03,bicalutamide
117202ATB,L02BB03,bicalutamide
122701ATB,L01BC06,capecitabine
122702ATB,L01BC06,capecitabine
139001ATB,L01AA01,cyclophosphamide
149302ACH,L01BC,Pyrimidine analogues
155101ACH,L01XX11,estramustine
172001ACH,L01XX05,hydroxycarbamide
172002ACH,L01XX05,hydroxycarbamide
182201ATB,L02BG04,letrozole
188905ATB,L02AB02,medroxyprogesterone
189303ASS,L02AB01,megestrol
189304ASS,L02AB01,megestrol
189330ASS,L02AB01,megestrol
189331ASS,L02AB01,megestrol
189335ASS,L02AB01,megestrol
189301ATB,L02AB01,megestrol
189302ATB,L02AB01,megestrol
189901ATB,L01AA03,melphalan
190601ATB,L01BB02,mercaptopurine
192101ATB,L04AX03,methotrexate
234501ATB,L02BA01,tamoxifen
234502ATB,L02BA01,tamoxifen
309700ACH,L01BC53,"tegafur, combinations"
358202ACH,L01AX03,temozolomide
